"","Day","Month","Year","SiteCode","Watershed","Ammonia","Nitrate","NPOC","Phosphorus","TDN","TN","TP","DON"
"192",14,10,14,"PR_ST_BA","Provo",0.0059,0.0059,0.584666667,0.0059,NA,0.1663,0.001,NA
"193",15,10,14,"RB_1300E","Red Butte",0.005,2.9924,0.80884704,2.9924,1.597333333,3.345,0.0127,-1.400066667
"194",15,10,14,"RB_1300S","Red Butte",0.0571,3.0802,2.151133438,3.0802,2.462333333,2.2892,0.0271,-0.674966667
"195",15,10,14,"RB_ARBR_AA","Red Butte",0.0143,0.0113,1.352257619,0.0113,0.191333333,0.0957,0.0518,0.165733333
"196",15,10,14,"RB_CG_BA","Red Butte",0.005,0.0163,1.30858619,0.0163,0.190333333,0.337,0.0564,0.169033333
"197",15,10,14,"RB_FD_AA","Red Butte",0.005,0.0211,1.372536645,0.0211,0.207666667,0.1129,0.0239,0.181566667
"198",15,10,14,"RB_KF_BA","Red Butte",0.005,0.0369,0.708848723,0.0369,0.164,0.1061,0.0275,0.1221
"199",15,10,14,"RB_RBG_BA","Red Butte",0.0069,0.0282,1.350153986,0.0282,0.204666667,0.1706,0.0309,0.169566667
"200",16,1,15,"RB_KF_BA","Red Butte",0.005,0.0778,2.705,0.0778,0.06,NA,NA,-0.0228
"201",16,4,15,"LR_Franklin_BA","Logan",0.0119,0.0963,1.475,0.005,0.179,0.1547,0.0198,0.0708
"202",16,4,15,"LR_MainSt_BA","Logan",0.0111,0.0883,NA,0.005,0.165,0.173,0.0124,0.0656
"203",16,4,15,"LR_Mendon_AA","Logan",0.0146,0.1381,NA,0.005,0.207,0.2032,0.0122,0.0543
"204",16,4,15,"LR_TonyGrove_BA","Logan",0.0121,0.028,NA,0.005,0.123,0.1351,0.0153,0.0829
"205",16,4,15,"LR_WaterLab_AA","Logan",0.0158,0.1008,1.127,0.005,0.15,0.1415,0.0121,0.0334
"206",16,4,15,"MR_AA_150416","Logan",NA,NA,4.656,NA,NA,NA,NA,NA
"207",16,4,15,"MS_BA_150416","Logan",NA,NA,1.04,NA,NA,NA,NA,NA
"208",16,4,15,"PR_TG_BA","Logan",NA,NA,2.915,NA,NA,NA,NA,NA
"209",16,4,15,"RB_1300E","Red Butte",NA,NA,5.9385,NA,0.992,1.4007,0.0424,NA
"210",16,4,15,"RB_1300S","Red Butte",0.0227,0.7143,NA,0.7143,NA,1.2357,0.0443,NA
"211",16,4,15,"RB_ARBR_AA","Red Butte",0.0104,0.0087,1.555,0.0087,0.088,0.0733,0.0383,0.0689
"212",16,4,15,"RB_CG_BA","Red Butte",0.0097,0.0147,1.576,0.0147,0.105,0.2533,0.0605,0.0806
"213",16,4,15,"RB_FD_AA","Red Butte",0.012,0.0468,3.241,0.0468,0.147,0.2175,0.0611,0.0882
"214",16,4,15,"RB_RBG_BA","Red Butte",0.0099,0.0249,1.411,0.0249,0.111,0.1372,0.0428,0.0762
"215",16,9,14,"PR_BJ_AA","Provo",0.0109,0.0109,3.8905,0.0109,0.303,0.2244,0.0172,0.2812
"216",16,9,14,"PR_CH_AA","Provo",NA,NA,3.627166667,NA,0.313833333,0.3066,0.0259,NA
"217",16,9,14,"PR_LM_BA","Provo",0.0087,0.0087,3.687333333,0.0087,0.242666667,0.2081,0.0183,0.225266667
"218",16,9,14,"PR_ST_BA","Provo",0.0102,0.0102,2.865666667,0.0102,0.162333333,0.1211,0.0037,0.141933333
"219",16,9,14,"RB_1300E","Red Butte",0.0097,2.9066,0.8875,2.9066,3.149666667,2.5274,0.0153,0.233366667
"220",16,9,14,"RB_1300S","Red Butte",0.0287,0.2876,5.055166667,0.2876,0.7585,0.8336,0.0605,0.4422
"221",16,9,14,"RB_ARBR_AA","Red Butte",0.0188,0.0212,1.125666667,0.0212,0.185333333,0.0858,0.027,0.145333333
"222",16,9,14,"RB_CG_BA","Red Butte",0.0232,0.0556,1.580166667,0.0556,0.205333333,0.1852,0.0436,0.126533333
"223",16,9,14,"RB_FD_AA","Red Butte",0.0144,0.0666,1.637333333,0.0666,0.213666667,0.2086,0.0436,0.132666667
"224",16,9,14,"RB_KF_BA","Red Butte",0.0061,0.0577,0.874166667,0.0577,0.121666667,0.1026,0.032,0.057866667
"225",16,9,14,"RB_RBG_BA","Red Butte",0.0152,0.0544,1.642,0.0544,0.215166667,0.2579,0.0528,0.145566667
"226",16,12,14,"LR_MainSt_BA","Logan",0.005,0.1563,0.5255652,0.005,0.191928533,0.2017,0.0065,0.030628533
"227",16,12,14,"LR_Mendon_AA","Logan",0.005,0.2408,0.75922715,0.005,0.251064667,0.3204,0.0067,0.00526466700000003
"228",16,12,14,"LR_WaterLab_AA","Logan",0.005,0.1621,0.5810779,0.005,0.1953298,0.2015,0.0052,0.0282298
